Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
masfit,slang,,,,more,more,more than/(colloquially) better than,,,,Orostara,mas fit,,
maskap,,,skill,,,,,,,,Orostara,mas kap,gei nang,
maskatit,,,,run,,,,,,,Orostara,mas katit,walk a lot/very,
masnien,,,,,old,,,,,,Orostara,mas nien,,
maspater,,physically fight,,fight,,,,,,,Orostara,mas pater,hit a lot,
maspax,,,preference/favor,prefer/favor/love/adore,,,rather,,,,Orostara,mas pax,,
maspex,,pair with 'sek',a late future,,late,late,,,,,Orostara,mas pex,,
masraox,,,rat,,,,,animal/nature,,,Orostara,mas raox,big mouse,
masuan,,commonly used with the -u ending as a greeting,,good evening ,,,,,,,Orostara,mas uan,,
masuh,,,warmth,heat,warm,warmly,,,,,Orostara,mas suh,,masu
masuik,slang,not commonly used; reserved for extremely important relationships,,care deeply/(colloquially) love,,,,,,,Orostara,mas suik,,
masuy,,,,chase/hunt,,,,,,,Orostara,mas suy,follow a lot (or very follow?),
mat,basic,,material/matter/stuff/resource,,,,,,,,Arabic,مادة,mada,
max,basic,,magic,do magic/cast,magical,magically,,fantasy,,,English,magic,,
maxan,,,,hurry,,,,,,,Orostara,mas xan,go a lot,
maxaom,slang,"only used in the Warren; condensed from a phrase that literally means ""you are my everything""",,love,,,,,,,Orostara,ma x o y ham,,
maxok,,,,stare,,,,,,,Orostara,mas xok,,
Mehikomur,proper,'mur' added for clarity,Mexico/United Mexican States,,,,,country,,,Spanish,México,,
meir,basic,,charisma,charm/convince/assure/sweet talk/persuade,charming/charismatic,charmingly/charismatically,,,,,Mandarin Chinese,魅力,Mèilì,
mek,basic,,creation/establishment/invention,make/create/manufacture/establish/invent,artificial,artificially,,,,,English,make,,
mem,basic,,memory,memorize/remember,memorable,memorably,,,,,Italian,memoria,,
men,basic,,noodle/pasta,,,,,food,,,Japanese,麺類,Menrui,
Meresiamur,proper,'mur' added for clarity,Malaysia/Federation of Malaya,,,,,country,,,Malay,Malaysia,,
mes,basic,,message/text/email/mail,text/DM/send/transmit/upload,,,,,,,English,message,,
mesar,basic,,example/sample/demo,demonstrate,,,such as,,,,Persian,مثال,mesâl,
met,basic,Mostly used as an honorific suffix,mid-level employee,,,,,,,,Spanish,medio,,
metot,basic,,method/technique/way/process/style,process,methodical,methodically,,,,,Spanish,método,,
mik,basic,,microbe/bacteria/virus/germ/pathogen,,,,,nature,,,Spanish,microbio,,
min,basic,,minute,,,,,measurement,,,Spanish,minuto,,
