Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
xaxan,,pair with 'sek',past hour,,,,,,,,Orostara,xas xan,,
xef,basic,Mostly used as an honorific suffix,Executive/CEO,,,,,,,,Portuguese,chefe,,
xeh,basic,used to describe anything outside your bubble/circle of influence; the colloquial meaning is not direct possession,that,,that/(colloquially) your/their/his/her,,,,,,Bangla,যে,jē,je
xen,basic,,depth,drop/fall/dive,deep/profound,,,measurement,,,Mandarin Chinese,深度,Shēndù,
xeren,,neural formal; use more specific honorifics when possible,you/he/she/them,,,,,,,,Orostara,xeh ren,,
xetif,,,,,,there,there,,,,Orostara,xeh tif,,
xian,basic,,sauce/paste,,,,,food,,,Mandarin Chinese,酱,Jiàng,
xien,basic,,advice/offer/suggestion,advise/suggest/propose/recommend/offer,advisable,,,,,,Mandarin Chinese,建议,Jiànyì,
xiep,basic,,,ensure/make sure/check/verify/guarantee,,of course/sure/certainly/surely/definitely,,,,,Mandarin Chinese,确保,Quèbǎo,
xif,basic,,surrender,yield/surrender/give in/give up/concede,,,,,,,Mandarin Chinese,屈服,Qūfú,
xifan,basic,,west,,west,west,,direction,adv,4,Mandarin Chinese,西方,Xīfāng,
xifanop,,,birth,birth,,,,,,,Orostara,xifan op,life start,
xifen,,pair with 'sek',future week,,,,,,,,Orostara,xixten fen,,
xifon,,,paragraph,,,,,,,,Orostara,xiy fon,,
xih,basic,,degree/level/rank/grade/score/quality,rank/score/grade,quality,,,,,,Mandarin Chinese,秩,Zhì,ji
xik,basic,,torso,,,,,body,,21,Mandarin Chinese,躯干,Qūgàn,
xim,basic,,sex,have sex,sexual/hot,sexually,,,,72,Arabic,جماع,jimâ,
ximfux,,,orgasm,,,,,,,,Orostara,xim fux,,
ximor,,,genital,,,,,body,,34,Orostara,xim or,sex organ,
xin,basic,,belief/trust,believe/trust/entrust,believable/honest,,,,,,Mandarin Chinese,信赖,Xìnlài,
xinkey,basic,,nerve,,,,,body,,6,Japanese,神経,Shinkei,
xior,basic,,repair/correction,fix/correct,fixed/correct,,,,,,Mandarin Chinese,修理,Xiūlǐ,
xip,basic,,flavor/taste,taste/lick,tasty/delicious,,,food,,0,Hindi,जीभ,jeebh,
xipok,basic,,billion,,1000000000,,,number,,26,Korean,십억,sibeok,
xipor,,,tongue,,,,,body,,18,Orostara,xip or,,
xipxip,basic,,glue,,sticky,,,,,,Urdu,چپچپا,cipcipā,
xir,basic,,white,,white,,,color,,8,Japanese,白,Shiro,
xis,basic,,technology,,technological,technologically,,,,,Shanghainese,技術,jji-zeq,
xit,basic/swear,also a swear; lowgrade like 'shit' or 'balls',hole,dig/drill/puncture/stab,,,through,,,,Marathi,छिद्र,Chidra,
xitxok,,,,,clear,,,,,,Orostara,xit jok,,
xix,basic,,truth,,true/real/actual/right,truly/really/actually,,,,,Mandarin Chinese,实际,Shíjì,
xixan,,pair with 'sek',past week,,,,,,,,Orostara,xixten jan,,
xixin,,named for the number of points on the shape,septagon,,septagonal,,,shape,,,Orostara,xix hin,,
xixten,,,week,,,,,measurement,,,Orostara,xix ten,Vāram,
xiy,basic,,writing/essay/book/article,write,written,,,,,,Mandarin Chinese,写,Xiě,
xok,basic,,appearance/sight/image/picture,look/see/watch/notice/check/observe,,,,,,,Bangla,চোখ,Cōkha,
xokim,basic,,risk/bet/dare,bet/gamble/wager/dare,risky,,,,,,Hindi,जोखिम,jokhim,
xokor,,,eye,,,,,body,,12,Orostara,xok or,,
xokxit,,,window,,,,,,,,Orostara,xok xit,,
xon,basic,,,,important/precious/significant,,,,,,Mandarin Chinese,重要,Zhòngyào,
Xonkuomur,proper,'mur' added for clarity,China/People's Republic of China,,,,,country,,,Mandarin Chinese,中国,Zhōngguó,
xos,basic,,,cook,,,,food,verb,0,Mandarin Chinese,厨子,Chúzi,
xot,basic,,joint/hinge,join,joined,,,body,,,Bangla,যৌথ,Yautha,
xotkarim,,,conjunction,,,,,,,,Orostara,xot karim,join word,
xoum,basic,,density,,thick/dense/viscous,,,measurement,,,Mandarin Chinese,稠密,Chóumì,
xox,basic,,bar/rod/pole/stick,,straight,,,,,,Bangla,যষ্টি,Yaṣṭi,
xuf,basic,,sweat,sweat,sweaty,,,body,,60,German,Schweiß,,
xukran,basic,,sperm,,,,,body,,36,Hindi,शुक्राणु,shukraanu,
xukranit,,,semen,,,,,body,,64,Orostara,xukran nit,sperm water,
xukranor,,,testes,,,,,body,,35,Orostara,xukran or,sperm organ,
xum,basic,,lip/lips,kiss,,,,body,,16,Hindi,चुंबन,chumban,
xun,basic,,plan/strategy/preparation,prepare/plan/get ready,strategic,ready,,,,,Mandarin Chinese,准备,Zhǔnbèi,
xunan,basic,,choice/option/decision,choose/pick/decide/select,picky,,,,,,Hindi,चुनना,chunana,
xup,basic,,jewel/jewelry/ornament,decorate,,,,,,,Mandarin Chinese,珠宝,Zhūbǎo,
xur,basic,,exception,,exceptional,just/only/merely,except/besides,,,,Mandarin Chinese,除了,Chúle,
xut,basic,,subject/theme,,,,about,,,,Mandarin Chinese,主题,Zhǔtí,
y,slang,slang; informal,I/me,,my/mine,,,,,,Orostara,yeh,,
yam,basic,,rain,rain,,,,nature,,,Turkish,yağmur,,
yax,slang,informal slang,we/me and you,,our,,,,,,Orostara,y x,,
Yaxouter,proper,the continent; 'ter' added for clarity,Europe/Asia/Eurasia,,,,,continent,,,Mandarin Chinese,亚洲,Yàzhōu,
yeh,basic,the colloquial meaning is not direct possession. Just influence; under my or our influence,this,,this/(colloquially) my/our,,,,,,Hindi,यह,yah,ye
yehak,,ex. 'Have you done it yet?',,,,already/yet,,,,,Orostara,yeh ak,,
Yehox,proper,directly translating to 'this planet' but meaning 'our planet',Earth,,,,,space,,11,Orostara,yeh hox,this planet,
Yemenmur,proper,'mur' added for clarity,Yemen/Republic of Yemen,,,,,country,,,Arabic,ٱلْيَمَن,ٱlyaman,
Yenax,proper,directly translating to 'this star' but meaning 'our star',the Sun,,,,,space,,8,Orostara,yeh nax,,
yeren,,neutral formal; use more specific honorifics when possible,I/me,,,,,,,,Orostara,yeh ren,,
yesek,,time marker particle,present time,,current,now,now,,,,Orostara,yeh sek,,
yeten,,,today,,,,,,,,Orostara,yeh ten,,
yetif,,,,come here/be here,,here,here,,,,Orostara,yeh tif,,
yif,basic,,cloth/fabric/clothing,wear/dress/clothe,,,,,,,Mandarin Chinese,衣服,Yīfú,
yin,basic,,music/song,make music,musical/lyrical,,,,,,Mandarin Chinese,音乐,Yīnyuè,
yintar,,,,sing,,,,,,,Orostara,yin tar,,
yinxan,,,,dance,,,,,,,Orostara,yin xan,chum,
yinxiy,basic,,syllable/rhythm,,rhythmic,,,,,,Mandarin Chinese,音节,Yīnjié,yinji
yix,basic,,energy/will/motivation/drive/joule,motivate/drive,motivational/motivating,motivationally,,measurement,,,Mandarin Chinese,意志,Yìzhì,
yixpaf,,,excitement,excite,exciting,excitingly,,,,,Orostara,yix paf,,
yon,basic,,vulva,,,,,body,,37,Hindi,योनी,yonee,
yonrur,,,vagina,,,,,body,,41,Orostara,yon rur,vulva tube,
yop,basic,,company,accompany,,together,by/beside/with,,,,Korean,옆에,yeop-e,
yor,basic,,tear,cry,,,,body,,61,Spanish,llorar,,
yoy,basic,,grace,,graceful,,,,,,Mandarin Chinese,优雅,Yōuyǎ,
Inkamur,proper,'land' replaced with 'mur' for clarity,England,,,,,country,,,English,England,,
yuh,basic,,health,heal,,,,body,,,Mandarin Chinese,愈合,Yùhé,yu
Yukantamur,proper,'mur' added for clarity,Uganda/Republic of Uganda,,,,,country,,,Swahili,Uganda,,
yun,basic,,luck/chance,,lucky,,,,,,Mandarin Chinese,运气,Yùnqì,
yunet,basic,,unit/element,,,,,measurement,,,English,unit,,
yuren,,,doctor,,,,,,,,Orostara,yuh ren,heal person,
yux,basic,,probability/expectation/odds,expect/predict,probable/likely/expected,probably,,,,,Mandarin Chinese,预计,Yùjì,
yutif,,,hospital,,,,,,,,Orostara,yuh tif,health place,
renik,,,child/kid,,childish,,,,,,Orostara,ren ik,,
